cleaned_text	lemm_text
ГДЕ-ТО В МЕКСИКЕ	гдеть в мексика
Только упрямый гринго... Приехал бы сюда...	только упрямый гринго приехать сюда
Со спасательной операцией СОВСЕМ ОДИН	с спасательный операция совсем один
Этот гринго не собирается говорить.	этот гринго собираться говорить
Тогда прикончи его.	тогда прикончить он
Давай, нас ждет генерал.	давать ждать генерал
Твоим пистолетом нельзя...	твой пистолет нельзя
...Пристрели его из его же пистолета.	пристрелить пистолет
А он не стреляет.	а стрелять
У этого говнюка пистолет без ударника.	у говнюк пистолет ударник
Оставь его.	оставить он
Собаки уже давно не убивали ради еды.	собака давно убивать ради еда
В следующий раз, амиго,	в следующий раз амиго
планируй заранее.	планировать заранее
О, я такой плохой католик.	о плохой католик
Нет, ты больной на голову.	нет больной голова
Не забудь деньги генерала.	не забыть деньга генерал
Гринго подкупил не того копа...	гринго подкупить копа
...и пришел с пушкой без ударника.	и прийти пушка ударник
ПОЛКОВНИК ГАННИБАЛ СМИТ	полковник ганнибал смит
ОТСЛЕЖИВАНИЕ	отслеживание
ГДЕ-ТО ЕЩЕ В МЕКСИКЕ	гдеть ещё в мексика
БОСКО БИ ЭЙ БАРАКУС	боско би эй баракус
Где моя крошка, придурок?	где крошка придурок
Она в порядке, чувак. Там она. Красотка, как и прежде.	она порядок чувак там она красотка прежде
Вот и все? Ты типа вне игры, завязал у нас?	вот весь ты тип вне игра завязать мы
Больше не при делах?	большой дело
- Да. - В этом-то и проблема, Боско.	да в этомтый проблема боско
Ты или дальше в деле,	ты далёкий дело
или 15 лет отсиживаешь в мексиканской тюряге	15 год отсиживать мексиканский тюряга
с двоюродным братом Чито.	двоюродный брат чито
Все то же западло, братуха. Сам выбирай, как это все разрулишь.	весь западло братуха сам выбирать это разрулить
Такие вот дела или попроще, или посложнее.	такой дело простой сложный
ЖАЛЬ	жаль
Ну давай!	ну давать
Ладно, боец. Черт.	ладный боец черта
Берегись, Би Эй, ты сейчас потеряешь своего старейшего друга.	беречься би эй потерять свой старый друг
ДУРЕНЬ	дурень
Как дела, крошка? Скучала?	как дело крошка скучать
А я вот скучал. Да, скучал. Как же давно мы не виделись, зайка.	а скучать да скучать как давно видеться зайка
Очень давно.	очень давно
Вот это, блин, местечко.	вот это блин местечко
Какое же классное место.	какой классный место
Тут система таймшер? Хочу поучаствовать.	тут система таймшер хотеть поучаствовать
Нравится мне ваша тема а-ля Санта-Фе, Туко.	нравиться ваш тема аля сантафа тукий
Так по-аризонски, с техасско- мексиканским оттенком. Классно.	так поаризонски техасско мексиканский оттенок классно
Может, чувак за мной	мочь чувак я
подгонит пару кесадилей, давай?	подогнать пара кесадиля давать
ЛЕЙТЕНАНТ «КРАСАВЧИК» ПЕК	лейтенант «красавчик» пек
Хочу, чтобы огонь увидели марсиане.	хотеть огонь увидеть марсианин
Американо, гринго.	америкать гринго
- Военная разведка. - Это ты о ком?	военный разведка это ком
- Да о тебе, чувак. - Нет.	да ты чувак нет
Не такой уж ты и умный, раз застрял в этих шинах.	не умный застрять этот шина
Я в норме. Я счастлив.	я норма я счастливый
О чем еще можно мечтать, понимаешь?	о мечтать понимать
- Мои мечты осуществились. - Это точно!	мой мечта осуществиться это точно
Ты приходишь сюда...	ты приходить сюда
...чтобы перекинуть меня в мешке через границу...	чтобы перекинуть мешок граница
...а вместо этого спишь с моей женой.	а вместо спать мой жена
Во-первых, она такая красотка	вопервое такой красотка
и мы оба тебя ненавидим. Вот примерно так все и	оба ненавидеть вот примерно
- Доброе утро! - Доброе утро, чувак!	добрый утро добрый утро чувак
Давайте веселиться!	давать веселиться
- И это все? - Веселимся, чувак!	и это весь веселиться чувак
Эй!	эй
Черт, нет.	черта нет
Давай вылезай, медленно.	давать вылезать медленно
Решил меня грабануть?	решить грабануть
Че за день такой - типа все наоборот?	че день тип наоборот
Я не вор. Но если я опоздаю, погибнет мой друг.	я вор но опоздать погибнуть друг
Если ты не вор, то стопроцентно и не убийца.	если вор стопроцентно убийца
