cleaned_text	lemm_text
Монах Шэн Цанг из Китайской династии Тан отправился на запад в Индию в поисках Буддистских Сутр.	монах шэн цанга китайский династия тан отправиться запад индия поиск буддистский сутра
Благодаря его паломничеству между двумя государствами возникли тесные связи.	благодаря паломничество два государство возникнуть тесный связь
Позже китайская династия Тан отправила своего посла Ван Шэнсё в Индию.	поздний китайский династия тан отправить свой посол ван шэнсё индия
Он внес знаменательный вклад	он внести знаменательный вклад
в развитие отношений и обмен культурами между Китаем и Индией.	развитие отношение обмен культура китай индия
В 647 году нашей эры	в 647 год наш эра
Арунсава, полководец легиона слонов индийского королевства Магадха,	арунсава полководец легион слон индийский королевство магадх
Магадха-древняя страна и историческая область в Индии	магадхадревнять страна исторический область индия
попытался захватить трон и провозгласить себя королем.	попытаться захватить трон провозгласить король
Арунасава	арунасава
В это время Ван как раз направлялся в Индию со второй миссией	в это время ван направляться индия два миссия
и попал в ловушку, расставленную Арунасавой и его войсками войсками...	попасть ловушка расставить арунасава войско войско
Ван Шэнсё	ван шэнсё
Я, генерал Бхима,	я генерал бхим
Ее Величество Гитанджали приказала мне спасти Вас.	она величество гитанджали приказать спасти вы
По коням.	по конь
Посол, Арунасава напал на Магадху, и город Раджгир пал.	посол арунасава напасть магадху город раджгир пасть
Генерал Бхима будет сопровождать Вас в Великую Империю Тан, чтобы попросить о военной помощи,	генерал бхим сопровождать вы великий империя тан попросить военный помощь
так же, в качестве дани, вы повезете с собой некоторые ценности и сокровища.	же качество дань повезти себя некоторый ценность сокровище
Генерал, судьба Магадхи сейчас в Ваших руках.	генерал судьба магадх ваш рука
Генерал, мы пересекли границы территорий Династии Тан.	генерал пересечь граница территория династия тан
Горы Кунлун	гора кунлуна
Впереди замерзшее озеро.	впереди замёрзнуть озеро
Боюсь, лед не выдержит нашего веса.	бояться лёд выдержать наш вес
Пожалуйста, подождите меня здесь.	пожалуйста подождать здесь
Я поеду вперед, чтобы найти безопасный путь.	я поехать вперёд найти безопасный путь
Ван Шэнсё благополучно пересек замершее озеро.	ван шэнсё благополучно пересечь замереть озеро
Когда он оглянулся,	когда оглянуться
увидел лишь белое пространство.	увидеть лишь белый пространство
Бима и его люди исчезли.	бить человек исчезнуть
Все казалось лишь сном.	весь казалось лишь сон
Позже Ван Шэнсё, возглавив тибетскую армию,	поздний ван шэнсё возглавить тибетский армия
вернулся в Магадху.	вернуться магадху
и разгромил Арунасаву и его 3000-й легион слонов,	разгромить арунасава 3000ть легион слон
совершив чудо и отвоевав страну своими силами.	совершить чудо отвоевать страна свой сила
Но что же случилось с Бхимой и сокровищами Магадхи?	но случиться бхимыть сокровище магадх
Куда они исчезли?	куда исчезнуть
Ван до самой смерти так и не нашел ответ на этот вопрос.	ван самый смерть найти ответ вопрос
"Он написал мемуары: ""Путешествие в Центральную Индию"","	он написать мемуары путешествие центральный индия
в которых описал все события, которые застал во время поездки.	который описать событие который застать время поездка
Позже...	поздний
В своей лекции Профессор расскажет,	в свой лекция профессор рассказать
как Ван Шэнсё в одиночку отвоевал страну.	ван шэнсё одиночка отвоевать страна
Можете идти на перерыв, но, пожалуйста, не опаздывайте.	мочь идти перерыв но пожалуйста опаздывать
Аспирант, давайте помогу.	аспирант давать помочь
