cleaned_text	lemm_text
<b>ДАЧА</b>	bдачаb
- Стойте, стойте!	стоять стоять
Стойте, остановитесь. Остановитесь здесь, пожалуйста.	стоять остановиться остановиться здесь пожалуйста
Я сейчас.	я сейчас
Я быстро.	я быстро
Ну зачем ты взял вещи?	ну взять вещий
Жди меня здесь.	ждать здесь
- Я пока позвоню. - Хорошо.	я пока позвонить хорошо
- Спасибо.	спасибо
- Пропустите, пожалуйста, меня.	пропустить пожалуйста я
- А почему я,	а почему я
собственно, должен вас пропускать?	собственно должный пропускать
- Понимаете, я тороплюсь,	понимать торопиться
нас ждет машина.	ждать машина
- Хотите совет?	хотеть совет
Ходите пешком, не будете торопится.	ходить пешком быть торопиться
- Вы меня не так поняли.	вы понять
- А как? - Мы с таким трудом достали машину,	а как мы такой труд достать машина
и шофер не соглашается долго ждать, а мы едем за город.	шофер соглашаться долго ждать ехать город
Мы дачу купили.	мы дача купить
- Здрасьте. - Здрасьте.	здравствовать здравствовать
- Купили наконец? - Да.	купить наконец да
- Гражданин, пропустите гражданку.	гражданин пропустить гражданка
- Всё берете? - Да, конечно, мы должны сейчас заплатить	весь берет да конечно должный заплатить
деньги.	деньга
Вы знаете, нам так повезло и не дорого.	вы знаете мы повезти дорого
4 тысячи.	4 тысяча
Это такое счастье.	это такой счастие
Я думала нам еще копить	я думать мы копить
и копить.	копить
И вдруг такие хорошие люди попались.	и такой хороший человек попасться
Совершенно замечательные.	совершенно замечательный
- Здравствуйте. - Здравствуйте.	здравствовать здравствовать
- Такая большая сумма, а у меня только десятки.	такой большой сумма десятка
- Не важно, вы знаете, мы дачу купили.	не важный знаете дача купить
- Купили дачу?	купить дача
- На дачу накопила...	на дача накопить
Знаем, как они	знать
копят!	копить
- Не стыдно вам, гражданин?	не стыдно вы гражданин
Вы знаете, она сколько времени копила?	вы знаете сколько время копить
Ваше счастье, что Таня вкладывала,	ваш счастие таня вкладывать
я бы вам ее карточку показала.	карточка показать
- Во.	в
Я возьму лишние	я взять лишний
деньги.	деньга
Заверну.	завернуть
На.	на
Ой, что это за вид?	ой это вид
Откуда ты выкопал этот старый пиджак?	откуда выкопать старый пиджак
И галстук.	и галстук
А рукава!	а рукав
Ой, Егор, у нас дача	ой егор дача
своя.	свой
Егор, на троллейбусе	егор троллейбус
доедешь до	доехать
конца.	конец
И пересядешь на автобус, сойдешь на 3-й остановке.	и пересесть автобус сойти 3й остановка
Понял? Извинись за свой вид.	понять извиниться свой вид
- Хорошо. - И приезжай скорее.	хорошо и приезжать скорее
- Хорошо.	хорошо
- Скорее приезжай.	скорее приезжать
- Хорошо.	хорошо
- Они, наверно, передумали.	они наверно передумать
Лена,	лена
неужели они передумали, а?	неужели передумать а
Мы ведь не много просим.	мы просить
Нам еле-еле хватит.	мы елееле хватить
Ну что ж? Неужели это тебя не касается?	ну ж неужели это касаться
Поразительно, честное слово.	поразительно честной слово
- В чем дело, Юрочка?	в дело юрочко
Ты ведь уже обо всем договорился.	ты о весь договориться
- О чем нам разговаривать? - Разговаривать о том, что вместо этой идиотской дачи	о мы разговаривать разговаривать тот вместо идиотский дача
у нас с тобой будет	ты
свой собственный автомобиль.	свой собственный автомобиль
Я сажусь в автомобиль и едем	я садиться автомобиль ехать
куда захотим, понимаешь ты?	захотеть понимать ты
Я думаю: нашей девочке 4 года, а что она видела в своей жизни?	я думать наш девочка 4 год видеть свой жизнь
Через 3 года пойдет в школу.	через 3 год пойти школа
И всё.	и весь
И жизнь кончена.	и жизнь конченый
Пойдет в школу,	пойти школа
так и не увидев прекрасного	увидеть прекрасный
мира,	мир
который окружает нас.	который окружать мы
- Юрочка, ну почему ты нервничаешь?	юрочко почему нервничать
- Продавай дачу и покупай	продавать дача покупать
машину.	машина
- Ну я то хочу, чтобы ты сопереживала.	ну хотеть сопереживать
- А я	а
сопереживаю.	сопереживать
- Не сопереживаешь.	не сопереживать
- Люся, Люсенька.	люся люсенька
Ты где? Доча.	ты где дотать
На балконе спряталась.	на балкон спрятаться
Сейчас.	сейчас
Доця.	доцть
Доченька, что это у тебя?	доченька это ты
Покажи папе, покажи.	показать папа показать
Дай мне сейчас же,	дать же
дай сюда сейчас же!	дать сюда же
Вот.	вот
Она хотела сбросить с балкона мою диссертацию.	она хотеть сбросить балкон мой диссертация
- Здрасьте, здрасьте, а где ваша милая жена?	здравствовать здравствовать ваш милый жена
- Мы случайно поймали машину,	мы случайно поймать машина
жена с вещами поехала на дачу.	жена вещь поехать дача
- Ага.	ага
- Моя любимая, маленькая доча моя.	мой любимый маленький дотать мой
- Так что, что вы будете пить?	так что быть пить
Коньячок или	коньячок
водочку? - Спасибо,	водочка спасибо
я не пью.	пить
- Ах, вот как! А может быть	ах как а
сигареты?	сигарета
- Спасибо и не курю.	спасибо курить
- Лена!	лена
- Леночка. - Вы разрешите мне позвонить?	леночка вы разрешить позвонить
- Ради Бога, звоните.	ради бог звонить
Так что же будем пить?	так быть пить
Чай или кофе?	чаять кофе
- Спасибо, всё равно.	спасибо весь равно
"- Не такого напитка ""всё равно"". Значит, кофе. Лена, кофе."	не такой напиток весь равно значит кофе лена кофе
- Любовь Петровна? - Да.	любовь пётр да
- Будьте добры, дайте	быть добрый дать
трубку Василию Василичу.	трубка василий василичить
- Сегодня же суббота.	сегодня суббота
- Я понимаю, что суббота, мне очень нужно, это Петров.	я понимать суббота очень нужно это петров
Из механического.	из механический
- Позвоните по прямому. - Простите, я не знаю его прямого телефона.	позвонить прямой простить знать прямой телефон
- Секундочку,	секундочка
я запишу сейчас.	записать сейчас
- Василий Василич.	василий василич
Вам	вы
звонит Петров из механического.	звонить петров механический
- Алло, Петров?	алло петров
Ну что у тебя?	ну ты
- Здрасьте, Василий Василич.	здравствовать василий василич
Там в проекте по реконструкции	там проект реконструкция
конвейера на 6-й странице	конвейер 6й страница
опечатка.	опечатка
Не 8 минут экономии,	не 8 минута экономия
а 12. Я только сегодня	12 я сегодня
заметил, вы учтите. - Учту, учту.	заметить учесть учесть учесть
- А когда к вам зайти?	а зайти
- Когда ко мне зайти?	когда к зайти
- Василий Василич, он со вчерашнего дня в отпуске.	василий василич вчерашний день отпуск
- Ты, говорят, в отпуске? - Да.	ты говорят отпуск да
- В понедельник зайди	в понедельник зайти
в кузнечный,	кузнечный
у них что-то там не ладное с расчетами.	чтоть ладный расчёт
Помоги.	помочь
- И потом ко мне. - Хорошо, зайду.	и к я хорошо зайти
- Ну, будь. - Всего хорошего.	ну быть всего хороший
- Не умеет отдыхать Петров.	не уметь отдыхать петров
Молодец.	молодец
- Ненормальный.	ненормальный
- Будь моя воля,	быть воля
я бы только такими ненормальными как Петров	такой ненормальный петров
укомплектовывал штаты.	укомплектовывать штат
Давайте работать.	давать работать
Когда ж еще работать	когда работать
как не у выходные дни.	выходной день
Их два подряд.	они подряд
Нормальные в эти дни наверняка не помешают,	нормальный день наверняка помешать
а ненормальных,	ненормальный
к сожалению,	сожаление
не так уж много.	много
- Опасный спуск.	опасный спуск
- Да что вы?	да вы
- И здесь	и
все ездят.	ездить
Здесь гораздо ближе	здесь гораздо близкий
чем по шоссе.	шоссе
Я вам сейчас покажу.	я показать
Здесь совершенно безопасно.	здесь совершенно безопасно
Ну,	ну
заводите машину, заводите.	заводить машина заводить
Я вам заплачу, ну.	я заплатить ну
Езжайте за мной, за мной, за мной.	езжать я я я
- Вот она, вот она.	вот она она
