cleaned_text	lemm_text
Пожалуйста!	пожалуйста
Пожалуйста, не делай мне больно!	пожалуйста делать больно
Это неправильно! Она слишком молода!	это неправильно она слишком молодой
Грехи плоти разрушат её.	грех плоть разрушить её
Пожалуйста, не делай мне больно! Пожалуйста!	пожалуйста делать больно пожалуйста
Зло будет наказано.	зло наказать
"""Загадочная сердечная болезнь..."	загадочный сердечный болезнь
"""убившая более 30 человек ""менее чем через четыре года..."	убить 30 человек менее четыре год
"унесла жизнь очередной жертвы""."	унести жизнь очередной жертва
"<i>""Доктора озадачены...</i>"	iдоктор озадаченыi
"<i>""тем, что здоровые на первый взгляд люди...</i>"	iтема здоровый один взгляд людиi
"<i>""страдают от серьезных сердечных приступов.</i>"	iстрадать серьёзный сердечный приступовi
"<i>""Многие жители Фэйруотера полагают, что тень Смерти...</i>"	iмногий житель фэйруотёр полагать тень смертиi
"<i>""вновь пала на город"".</i>"	iвновь пасть городi
"Что ещё за ""тень Смерти""? Мне это не нравится."	что ещё тень смерть я это нравиться
Это то, что они говорят, Мисс Рис-Джонс.	это то говорят мисс рисджонс
Там много напуганных людей.	там напугать человек
"<i>""Уже десятилетия</i>"	iуже десятилетияi
"""название Фэйруотер ассоциируется со Смертью..."	название фэйруотереть ассоциироваться смерть
"""после мерзкого дела ""Брэдли-Бартлетта"" 1964 года."	после мерзкий дело брэдлибартлетта 1964 год
"<i>""Тридцать лет спустя, судя по постоянному росту смертности,</i>"	iтридцать год спустя судить постоянный рост смертностиi
"<i>""похоже, что старуха с косой вновь вернулась...</i>"	iпохожий старуха коса вновь вернуласьi
"<i>""на тихие улицы Фэйруотера"".</i>"	iна тихий улица фэйруотераi
<i>О, нет.</i>	iо нетi
<i>Стив, нет.</i>	iстив нетi
Я же просила подойти к этому по-другому. Дай мне что-нибудь свежее.	я просить подойти это подругий дать чтонибыть свежий
Я хочу увидеть человеческое лицо этой трагедия была.	я хотеть увидеть человеческий лицо трагедия быть
Поезжай туда. Поговори с их родными.	поехать туда поговорить родной
Я хочу знать как всё это отражается на местном сообществе.	я хотеть знать весь это отражаться местный сообщество
Да, Мисс Рис-Джонс.	да мисс рисджонс
И ещё, Стив, больше никаких упоминаний о смерти, как о личности.	и ещё стив никакой упоминание смерть личность
Друг семьи? Такая неприятность.	друг семья такой неприятность
Пошёл вон. Проваливай, вон, проваливай.	пойти вон проваливать вон проваливать
Проваливай.	проваливать
Проклятье.	проклятие
О, Боже!	о бог
О, Боже! Я не могу в это поверить. Этого не может быть.	о бог я мочь это поверить это быть
Мой газон, ты испортил мой газон.	мой газон испортить газон
Эй. Как дела?	эй как дело
Просто позвоните мне. Я возмещу убытки.	просто позвонить я я возместить убыток
Ты чертовски прав, ты заплатишь...	ты чертовски право заплатить
потому что я засужу твою задницу.	засудить твой задница
Давай до суда не будем доводить?	давать суд быть доводить
Просто пришли мне счёт.	просто прислать счёт
"""Фрэнк Баннистер, медиум-детектив""?"	фрэнк баннистереть медиумдетектив
Замечательно. Ну, ты и загнул.	замечательный ну загнуть
Как ты не заметил поворота? Тупой ты дебил.	как заметить поворот тупой дебил
Это идиотизм!	это идиотизм
Слушай, приятель, тебе это влетит в копеечку!	слушай приятель ты это влететь копеечка
Ты заплатишь за новую изгородь, слышишь меня?	ты заплатить новый изгородь слышать я
И полностью восстановишь этот газон!	и полностью восстановить газон
Или мы поговорим...	или поговорить
Бадзо! Мой Бадзо!	бадзый мой бадзый
Я запомнил номер твоей машины, сволочь!	я запомнить номер твой машина сволочь
Это частная собственность.	это частный собственность
Миссис Брэдли? Я доктор Лински. Я работаю в медицинском центре.	миссис брэдлить я доктор линск я работать медицинский центр
Нет, не работаете. Я всех там знаю.	нет работать я знать
Я приступила к работе три месяца назад.	я приступить работа месяц назад
Доктор Кэйминс - мой личный терапевт.	доктор кэйминс личный терапевт
Да, но доктор Кэйминс сегодня на похоронах,	да доктор кэйминс сегодня похороны
и я обслуживаю сегодня его пациентов.	обслуживать сегодня пациент
Она резала овощи и нож скользнул ей по руке.	она резать овощ нож скользнуть рука
Пара швов и с ней всё будет в порядке.	пара шов весь порядок
Я отвезу её в клинику.	я отвезти её клиника
Это невозможно.	это невозможно
- Но порез очень глубокий. - Оставьте какие-нибудь антибиотики.	но порез очень глубокий оставить какиенибудь антибиотик
- Мама, пожалуйста. - Патриция никогда не выходит из дома.	мама пожалуйста патриция выходить дом
- Но мне больно. - Немедленно в свою комнату!	но больно немедленно комната
Подождите минуту.	подождать минута
Кто это с вами сделал?	кто это вы сделать
Я думаю вам лучше уйти, доктор Лински.	я думать уйти доктор линск
Вы не знаете кто моя дочь, не так ли?	вы знаете дочь ли
- Патриции нельзя доверять. - Простите?	патриция доверять простить
Я могу запереть её в любое время, когда захочу.	я мочь запереть её любой время захотеть
Сказали, что она была соучастницей.	сказать соучастница
Я знаю правду.	я знать правда
Это было хладнокровное убийство.	это хладнокровный убийство
<i>В течение 27 кровавых минут</i>	iв течение 27 кровавый минутi
<i>12 невинных людей были застрелены...</i>	i12 невинный человек застреленыi
<i>санитаром Джоном Чарльзом Бартлеттом.</i>	iсанитар джон чарльз бартлеттомi
<i>Пациенты, медперсонал, посетители...</i>	iпациент медперсонал посетителиi
<i>он не пожалел никого в своей безумной ярости...</i>	iон пожалеть никто свой безумный яростиi
<i>в стенах санатория Фэйруотера.</i>	iв стен санаторий фэйруотераi
<i>Даже больничная часовня не обеспечила неприкосновенности...</i>	iдажа больничный часовня обеспечить неприкосновенностиi
<i>молившиеся там были застрелены, стоя на коленях.</i>	iмолиться застрелить стоя коленяхi
<i>Бога ради!</i>	iбог радиi
