cleaned_text	lemm_text
Меня зовут Эбби Миллс.	я звать эбби миллс
Я вернулась домой на остров Харпера.	я вернуться домой остров харпер
Мой лучший друг женится на девушке его мечты.	мой хороший друг жениться девушка мечта
Но не всё в этом путешествии было безоблачно.	но весь путешествие безоблачный
7 лет назад я уехала отсюда после того, как Джон Уэйкфилд убил 6 человек.	7 год назад уехать отсюда тот джон уэйкфилд убить 6 человек
Моя мать была одной из них.	мой мать один они
Остальные стали жить дальше...	остальной стать жить далёкий
Думая, что убийства в прошлом.	думать убийство прошлое
Но я не могу избавиться от мысли...	но мочь избавиться мысль
...что это не так.	что это так
<i>В ПРЕДЫДУЩИХ СЕРИЯХ...</i>	iв предыдущий серияхi
Хантер здесь, на острове.	хантереть здесь остров
Хантер Дженнингс - плохой парень.	хантереть дженнингс плохой парень
Теперь у нас хорошие парни.	теперь хороший парень
Зачем я тратил деньги, притащив тебя сюда, если ты не можешь выполнить свою работу?	зачем тратить деньга притащить сюда мочь выполнить работа
Освободи меня, пожалуйста.	освободить я пожалуйста
Я пойду за помощью.	я пойти помощь
Не волнуйся. Я вернусь.	не волноваться я вернуться
Нет, пожалуйста!	нет пожалуйста
- Ты, наверно, меня не помнишь. - Ты Келли.	ты наверно помнить ты келли
Я всегда хотела жить в месте...	я хотеть жить место
"- Где люди за спиной не шушукаются... - ""Матерей этих девочек прикончил Джон Уэйкфилд""."	где человек спина шушукаться матереть этот девочка прикончить джон уэйкфилд
Мой отец убил Джона Уэйкфилда.	мой отец убить джон уэйкфилд
Тогда почему я продолжаю его видеть?	тогда почему продолжать видеть
Ты можешь пожить со мной в Лос-Анджелесе.	ты мочь пожить я лосанджелес
Это лучший день в моей жизни.	это хороший день мой жизнь
Джиджи!	джиджи
Нет!	нет
Эбби!	эбби
Привет, Бэт!	привет бэт
Залезай.	залезать
Как скажешь.	как сказать
Как тебе это удаётся, Ричард?	как ты это удаваться ричард
Прошу прощения?	просить прощение
Как тебе удаётся не визжать от ужаса?	как ты удаваться визжать ужас
Вельветовый пиджак и вступление в семью Веллингтонов?	вельветовый пиджак вступление семь веллингтон
Генри, я зарабатываю много денег.	генри зарабатывать деньга
Шей счастлива, и Мэдисон всегда будет окружена заботой.	шея счастливый мэдисон окружить забота
А как же ты? Ты сам счастлив?	а ты ты счастливый
Ты просто... смиришься.	ты просто смириться
Давай!	давать
Молодец, папочка.	молодец папочка
Кто-нибудь обыграл твоего отца?	ктонибыть обыграть твой отец
В стрельбе по тарелкам?	в стрельба тарелка
Не припоминаю.	не припоминать
Ты собираешься свергнуть короля?	ты собираться свергнуть король
Проклятье.	проклятие
Всё хорошо.	весь хорошо
Четыре из пяти - неплохо.	четыре пять неплохо
Твоя очередь, Генри.	твой очередь генри
Сделай их.	сделать они
На тебя не похоже, любимый.	на похоже любимый
Мэдисон, что ты делаешь?	мэдисон делать
Тренируюсь бросать цветы.	тренироваться бросать цвета
Это не наши цветы.	это наш цвета
Пусть развлекается, ей не с кем играть.	пусть развлекаться кто играть
Спасибо.	спасибо
Всё в порядке?	весь порядок
Ага.	ага
Ты ведь сочинил тост для вечера?	ты сочинить тост вечер
Чтобы поблагодарить папочку.	чтобы поблагодарить папочка
Не стой столбом, Генри. Покажи нам класс.	не стоять столб генри показать мы класс
Да, Генри, не стой. Покажи ему класс.	да генри стоять показать класс
Вперёд, малыш.	вперёд малыш
Давай!	давать
Давай!	давать
Давай!	давать
Давай!	давать
Всё хорошо, малыш.	весь хорошо малыш
Ещё одна, и ты обыграешь папочку.	ещё один обыграть папочка
Да, Генри, покажи, из чего ты сделан. Достоин ли ты быть Веллингтоном?	да генри показать сделать достойный веллингтон
Давай!	давать
Поздравляю.	поздравлять
Спасибо, Кэтрин.	спасибо кэтрин
Не повезло. Может, в другой раз.	не повезти мочь раз
Ты отлично справился.	ты отлично справиться
"<i>""Медицинский центр Острова Харпера""</i>"	iмедицинский центр остров харпераi
Никогда не понимал самоубийц.	никогда понимать самоубийца
Я знал Келли.	я знать келли
Тяжело видеть, как они уходят, когда я всё ещё здесь.	тяжело видеть уходить весь ещё здесь
Может, я слишком стар для этого мира...	мочь слишком старый мир
"{\a6}<i>""Джон Уэйкфилд, вернись за мной""</i>"	a6iджон уэйкфилд вернуться мнойi
Но зачем маленькой девочке писать на себе такое...	но маленькая девочка писать такой
после того, что Уэйкфилд сделал с её мамой?	тот уэйкфилд сделать её мама
Я хочу, чтобы ты удостоверился, что причиной смерти стало повешение.	я хотеть удостовериться причина смерть стать повешение
Есть причины думать иначе?	есть причина думать иначе
Я выполняю свою работу.	я выполнять работа
Дай мне знать, если найдёшь что-нибудь.	дать знать найти чтонибыть
Я постараюсь, но я не делал вскрытие уже семь...	я постараться делать вскрытие семь
Шериф...	шериф
Взгляните на это.	взглянуть это
"ОСТРОВ ХАРПЕРА Эпизод 3: ""Каблам"""	остров харпер эпизод 3 кабла
<i>Один за Одним...</i>	iодин однимi
Нормально? Нет.	нормальный нет
Естественно?	естественно
Может быть.	мочь быть
При повешении всегда появляются кровоподтёки, но...	при повешение появляться кровоподтёк но
Здесь явно перебор.	здесь явно перебор
Также у неё под ногтями есть кожа, и признаки того, что она вчера занималась сексом.	также она ноготь кожа признак тот вчера заниматься секс
Она вязкая, как кровь.	она вязкий кровь
Но... Я не знаю.	но я знать
Нужно всё тщательно проверить.	нужно весь тщательно проверить
Узнай, был ли секс насильственным, боролась ли она с кем-нибудь.	узнать секс насильственный бороться кемнибыть
Неприятные мысли.	неприятный мысль
Но, наверно, человек в твоём положении должен рассуждать именно так.	но наверно человек твой положение должный рассуждать именно так
За самых классных шаферов.	за самый классный шафер
Эбс, ты выросла на острове. Почему ты не умеешь плавать?	эбс вырасти остров почему уметь плавать
Я умею плавать. Но на соревнованиях я бы не победила.	я уметь плавать но соревнование победить
А ты, Бэт?	а ты бэт
Кажется, Кэл ещё не пришёл в себя.	кажется кэл ещё прийти себя
Да.	да
Удивительно, что они всё утро на улице.	удивительно весь утро улица
Они не спали всю ночь.	они спасть ночь
Он был зол на неё?	он злой она
Нет.	нет
Наоборот.	наоборот
Как обезьяны-ревуны. Удивительно, как в отеле вообще кто-то мог уснуть.	как обезьяныревун удивительно отель вообще ктоть мочь уснуть
Я тоже их слышал.	я слышать
"Что значит ""Бузл-Вузл""?"	что значит бузлвузлый
Не понимаю.	не понимать
Он хороший парень, Салли.	он хороший парень салли
Иногда этого достаточно.	иногда достаточно
Привет, старик. Прости за то, что оставил тебя там висеть.	привет старик простить то оставить висеть
Я поступил плохо.	я поступить плохо
Я угощу тебя пивом, ладно?	я угостить пиво ладный
- Он извиняется или подкатывает к Хлое? - Зная Салли - и то, и другое.	он извиняться подкатывать хлый знать салли то другой
Он - мультизадачен.	он мультизадачный
Это точно не обо мне. Все мои планы на день - это спа, спа и спа.	это точно о я весь мой план день это спа спа спа
Можно с тобой поговорить?	можно ты поговорить
Эй, красавчик.	эй красавчик
Сегодня ты был великолепен.	сегодня великолепный
Брось.	бросить
Ты ведь не злишься из-за проигрыша отцу?	ты злиться изз проигрыш отец
