cleaned_text	lemm_text
"""А Вы не думаете, что от любви можно умереть?"	думать любовь умирать
"""Вы говорили, что любите меня."	говорить любить
"""Но что это за мир?"	это мир
"""Вы должны презирать женщин которые принимают Вас таким..."	должный презирать женщина который принимать ...
"""Которые прогоняют своих пылких возлюбленных, чтобы обольщать Вас."""	который прогонять свой пылкий возлюбленная обольщать
"""Вы должны презирать женщин которые принимают Вас таким..."	должный презирать женщина который принимать ...
"""Которые прогоняют своих пылких возлюбленных, чтобы обольщать Вас."""	который прогонять свой пылкий возлюбленная обольщать
Над этим ещё нужно работать.	это нужно работать
Пока это не совсем верно.	пока это верно
Хочешь выйти на лодке в море?	хотеть выходить лодка море
Думаю, может быть ей лучше...	думать мочь ...
Мне дали лодку только на один день.	давать лодка день
Мы пойдём к большому острову, ты хочешь?	пойти большой остров хотеть
Но я её привезу вечером.	привозить вечер
Мы подождём тебя.	подождать
Должно быть, жарко тебе во всём этом.	должно жарко весь это
Мы будем ждать. Быстрее переодевайся.	ждать быстро переодеваться
Вечером я её привезу.	вечер привозить
Только пораньше, а то мы будем волноваться.	рано волноваться
Я вижу, в летних лагерях всё строго - как и раньше.	видеть летний лагерь строго рано
Сейчас будет обед.	обед
Всё по распорядку.	распорядок
Пойдём, Сюзанна.	пойти сюзанна
Я её привезу.	привозить
- Взяла пьесу? - Да, буду повторять в лодке.	взять пьеса повторять лодка
Желаю хорошо провести время.	желать проводить время
Посмотри на неё.	посмотреть
Красавица у меня сестра.	красавица сестра
Сюзанна, нет! Ты ещё не выучила свою роль!	сюзанна выучивать свой роль
Ты слишком самоуверена! Ты должна быть осторожнее!	слишком самоуверенный должный осторожно
Почему?	почему
Тебе 16 лет - и ты не веришь в любовь.	16 год верить любовь
А ты веришь?	верить
Сюзанна, твоя роль!	сюзанна твой роль
Хорошая вода.	хороший вода
Я уже наглоталась.	наглотаться
- Тебе надолго дали лодку? - Только на день.	надолго давать лодка день
"<i>""С любовью не шутят.""</i>"	"i >"" любовь шутить ""</ i"
"""Мы играли с жизнью и смертью, но наши сердца чисты."	играть жизнь смерть наш сердце чистый
"""Не дай Розетте умиреть. Я всё сделаю для нее."	давать розетт умиреть сделать
"""Она молода. Она будет богата и счастлива."	молодой богатый счастливый
"""Но что это, Камилла?"""	это камилл
"<i>""Она мертва. Прощай, Пердикан.""</i>"	"i >"" мертвый прощать пердикан ""</ i"
Но это нельзя так произносить. Лучше так ...	это произносить ...
Посмотри на тот маленький домик.	посмотреть маленький домик
Там?	
Не пойти ли нам туда?	пойти туда
Переживаешь из-за спектакля?	переживать из-за спектакль
"""О, Боже."	боже
"""Когда я пришла сюда, Я поклялась в верности Вам."	приходить сюда поклясться верность
"""Почему Вы покинули меня?"	почему покидать
"""Почему даже правду превращаете в ложь?"	почему правда превращать ложь
"""Я не могу больше молиться."	мочь молиться
"<i>"" Это - гордость. </i>"	"i >""  это гордость  </ i"
"""Почему она стоит между этой девушкой и мной?"	почему стоять девушка
"""Такой бледной и трепещущей... Возможно, она полюбила меня."	бледный трепетать ... возможно полюбить
"""Мы созданы друг для друга."	создавать друг друг
"""Кто здесь? Кто это говорит?"	это говорить
"""Это - ты, Пердикан?"	это пердикан
"""Мы безумны."	безумный
"""Мы любим друг друга."	любить друг друг
"""Кто из нас кого предал?"	предавать
"""Жизнь настолько жестока..."	жизнь настолько жестокий ...
"""И счастье - редкий жемчуг в океане нашей жизни."	счастие редкий жемчуг океан наш жизнь
"""Но мы, как дети - превратили его в игру."	ребенок превращать игра
"""Но мы влюблены."	влюбленный
"""Да, Пердикан, мы влюблены."	пердикан влюбленный
"""И мы не оскорбляем этим Бога, глядящего на нас."	оскорблять это бог глядеть
"""Он одобряет эту любовь. Он знает о ней уже 15 лет."	одобрять любовь знать 15 год
"""Камилла..."	камилла ...
"""Ты - моя."	
"""Это - голос Розетты."	это голос розетт
"""О, Боже..."	боже ...
"""Не делай из меня убийцу."	делать убийца
"""Мы - глупые дети, играющие жизнью и смертью."	глупый ребенок играть жизнь смерть
"""Не дай Розетте умереть."	давать розетт умирать
"""Я найду ей мужа. Я сделаю это для неё."	находить муж сделать это
"""Она молода. Она будет богата и счастлива."	молодой богатый счастливый
"""Пойдём."	пойти
"""Что такое?"	
"""Она умерла."	умирать
"""Прощай, Пердикан."""	прощать пердикан
Что ты делаешь?	делать
Я принесла тебе поесть.	приносить поесть
И десерт Шарлин.	десерт шарлин
Пока я несла - он немного раскрошился.	пока нести немного раскрошиться
- А что делает Шарлин? - Она в порту.	делать шарлин порт
- А Соланж? - Они все в порту.	соланж порт
Глупо, что в лагере запрещают купаться.	глупо лагерь запрещать купаться
Представь, что они нас увидят.	представлять увидеть
Идёшь?	идти
Нам хорошо здесь, да?	
Что случилось?	случаться
Я надоел тебе?	надоедать
Почему ты это говоришь?	почему это говорить
Ты страдаешь.	страдать
Здесь не всё так хорошо.	
Можно сказать - я надоедаю тебе.	сказать надоедать
Нет, это не так.	это
